images,label
cat.10362.jpg,1
cat.4409.jpg,1
dog.6047.jpg,0
cat.5633.jpg,1
cat.6703.jpg,1
cat.9830.jpg,1
dog.4019.jpg,0
dog.3171.jpg,0
dog.2403.jpg,0
dog.11709.jpg,0
dog.795.jpg,0
dog.7812.jpg,0
dog.6187.jpg,0
cat.2698.jpg,1
dog.8970.jpg,0
dog.10088.jpg,0
cat.12002.jpg,1
cat.11736.jpg,1
dog.2665.jpg,0
cat.8435.jpg,1
cat.8006.jpg,1
dog.5167.jpg,0
cat.7580.jpg,1
cat.6592.jpg,1
dog.8600.jpg,0
dog.8839.jpg,0
dog.2035.jpg,0
cat.12298.jpg,1
dog.1299.jpg,0
cat.7230.jpg,1
dog.12331.jpg,0
dog.5416.jpg,0
cat.3732.jpg,1
cat.1026.jpg,1
dog.7530.jpg,0
dog.4078.jpg,0
dog.11845.jpg,0
cat.12494.jpg,1
cat.777.jpg,1
cat.3194.jpg,1
cat.12320.jpg,1
dog.9213.jpg,0
dog.11219.jpg,0
cat.8467.jpg,1
dog.1770.jpg,0
dog.8347.jpg,0
dog.5060.jpg,0
dog.11848.jpg,0
cat.519.jpg,1
cat.7221.jpg,1
cat.8206.jpg,1
cat.217.jpg,1
dog.12040.jpg,0
cat.10387.jpg,1
dog.4870.jpg,0
dog.9692.jpg,0
dog.11852.jpg,0
dog.2355.jpg,0
dog.11787.jpg,0
cat.7002.jpg,1
dog.10000.jpg,0
cat.10928.jpg,1
cat.9242.jpg,1
cat.2342.jpg,1
dog.8396.jpg,0
cat.2912.jpg,1
cat.10383.jpg,1
cat.2220.jpg,1
dog.12083.jpg,0
dog.3212.jpg,0
dog.8137.jpg,0
dog.8370.jpg,0
cat.9704.jpg,1
dog.456.jpg,0
cat.9068.jpg,1
cat.4516.jpg,1
dog.3652.jpg,0
cat.8093.jpg,1
dog.7134.jpg,0
cat.10952.jpg,1
cat.12123.jpg,1
dog.9283.jpg,0
cat.6904.jpg,1
cat.5429.jpg,1
cat.5692.jpg,1
cat.11289.jpg,1
dog.2646.jpg,0
cat.5623.jpg,1
dog.6192.jpg,0
cat.10725.jpg,1
dog.5217.jpg,0
dog.2789.jpg,0
cat.9084.jpg,1
cat.11408.jpg,1
cat.2832.jpg,1
cat.3282.jpg,1
cat.4615.jpg,1
cat.5952.jpg,1
cat.11183.jpg,1
cat.8669.jpg,1
cat.10671.jpg,1
dog.7872.jpg,0
dog.4198.jpg,0
cat.6417.jpg,1
cat.2620.jpg,1
cat.2873.jpg,1
dog.9008.jpg,0
cat.1357.jpg,1
dog.3349.jpg,0
cat.5339.jpg,1
cat.7959.jpg,1
cat.11215.jpg,1
dog.1924.jpg,0
dog.7242.jpg,0
cat.6486.jpg,1
dog.7588.jpg,0
dog.8074.jpg,0
dog.10895.jpg,0
cat.2749.jpg,1
dog.1448.jpg,0
dog.1122.jpg,0
cat.581.jpg,1
cat.10908.jpg,1
cat.3114.jpg,1
dog.6110.jpg,0
dog.8610.jpg,0
dog.3622.jpg,0
dog.1654.jpg,0
dog.8183.jpg,0
cat.7127.jpg,1
dog.1692.jpg,0
cat.8293.jpg,1
dog.5869.jpg,0
cat.2824.jpg,1
dog.926.jpg,0
dog.7754.jpg,0
dog.8532.jpg,0
cat.9892.jpg,1
dog.9406.jpg,0
cat.9958.jpg,1
cat.561.jpg,1
dog.11628.jpg,0
dog.7698.jpg,0
cat.11159.jpg,1
cat.3911.jpg,1
dog.10270.jpg,0
dog.7234.jpg,0
cat.9775.jpg,1
cat.959.jpg,1
cat.12345.jpg,1
dog.5947.jpg,0
cat.12440.jpg,1
cat.6063.jpg,1
cat.9012.jpg,1
cat.7548.jpg,1
dog.8492.jpg,0
cat.2973.jpg,1
dog.4670.jpg,0
dog.6857.jpg,0
dog.4740.jpg,0
dog.1506.jpg,0
dog.11789.jpg,0
cat.10984.jpg,1
cat.9163.jpg,1
cat.9696.jpg,1
dog.580.jpg,0
dog.10422.jpg,0
cat.3961.jpg,1
dog.2611.jpg,0
cat.8259.jpg,1
cat.2747.jpg,1
cat.920.jpg,1
cat.3598.jpg,1
cat.1483.jpg,1
cat.11161.jpg,1
cat.8067.jpg,1
dog.3756.jpg,0
cat.12351.jpg,1
cat.4825.jpg,1
cat.1614.jpg,1
cat.2106.jpg,1
dog.12137.jpg,0
dog.3294.jpg,0
dog.6609.jpg,0
dog.4269.jpg,0
cat.8155.jpg,1
cat.356.jpg,1
cat.4423.jpg,1
dog.606.jpg,0
cat.10863.jpg,1
dog.3136.jpg,0
dog.10405.jpg,0
cat.10637.jpg,1
dog.2161.jpg,0
cat.6616.jpg,1
dog.9368.jpg,0
cat.2316.jpg,1
dog.8467.jpg,0
dog.4604.jpg,0
dog.3331.jpg,0
cat.2076.jpg,1
dog.2592.jpg,0
cat.3584.jpg,1
dog.2198.jpg,0
cat.458.jpg,1
